Model,Feat,Label,RMSE_mean,RMSE_std
rf,ecfp,label,1.1837524767191514,0.0562367043479948
svm,ecfp,label,1.9574015280619002,0.09533372110108895
gb,ecfp,label,1.3003306079820125,0.055135316979698
nn,ecfp,label,1.2796576061186538,0.010406662892663818
nn-pca,ecfp,label,1.3367784555953093,0.05664622327854866
rf,maccs,label,1.0321685276235653,0.08182742895273537
svm,maccs,label,1.293459083639402,0.0702203998291262
gb,maccs,label,1.0490440211235694,0.06610595583332328
nn,maccs,label,1.1044235095333514,0.051607593459894664
nn-pca,maccs,label,1.112714901425956,0.08514332501024771
rf,mordred,label,0.6354793050605082,0.06370613961241893
svm,mordred,label,2.0742001076192533,0.11150697613738648
gb,mordred,label,0.61297859412738,0.041304250506497164
nn,mordred,label,39.176228469683984,10.18662513883423
nn-pca,mordred,label,133.02334376232847,28.881348903134665
